 "Provinsi" , "kode_provinsi" , "PDRB_per_kapita_2014_juta_rupiah" , "Longitude" , "Latitude" , "tahun" , "jumlah_penduduk" , "jumlah_penderita" , "jumlah_penerima" , "persentasefilariasis" , "persentasepenerima" ,
 "Jawa Timur" , "35" , "39,90" , "112.733" , "-7.7167" , "2011" , "36628500" , "238" , "2112794" , "0.000649767257736462044582" , "0.000649767257736462044582" ,
 "Jawa Timur" , "35" , "39,90" , "112.733" , "-7.7167" , "2009" , "36367300" , "219" , "655296" , "0.000602189329425060425162" , "0.000602189329425060425162" ,
 "Kalimantan Barat" , "61" , "27,98" , "111.1167" , "-0.5" , "2011" , "4904800" , "269" , "1500523" , "0.005484423421954004240743" , "0.005484423421954004240743" ,
 "Kalimantan Barat" , "61" , "27,98" , "111.1167" , "-0.5" , "2010" , "4919000" , "253" , "1091372" , "0.005143321813376702581825" , "0.005143321813376702581825" ,
 "Kalimantan Barat" , "61" , "27,98" , "111.1167" , "-0.5" , "2009" , "4844600" , "253" , "1587472" , "0.005222309375387028856871" , "0.005222309375387028856871" ,
 "Kalimantan Barat" , "61" , "27,98" , "111.1167" , "-0.5" , "2012" , "5008700" , "269" , "1781486" , "0.005370655060195260247169" , "0.005370655060195260247169" ,
 "Kalimantan Barat" , "61" , "27,98" , "111.1167" , "-0.5" , "2008" , "4771500" , "253" , "0" , "0.005302315833595305459499" , "0.005302315833595305459499" ,
 "Kalimantan Selatan" , "63" , "33,55" , "114.8338" , "-3.4845" , "2009" , "3555700" , "385" , "510273" , "0.010827685125291785021233" , "0.010827685125291785021233" ,
 "Kalimantan Selatan" , "63" , "33,55" , "114.8338" , "-3.4845" , "2012" , "3714400" , "422" , "859166" , "0.011361188886495800129226" , "0.011361188886495800129226" ,
 "Kalimantan Selatan" , "63" , "33,55" , "114.8338" , "-3.4845" , "2008" , "3503300" , "385" , "502753" , "0.010989638340992778237661" , "0.010989638340992778237661" ,
 "Kalimantan Selatan" , "63" , "33,55" , "114.8338" , "-3.4845" , "2010" , "3608000" , "385" , "716839" , "0.010670731707317073170731" , "0.010670731707317073170731" ,
 "Kalimantan Selatan" , "63" , "33,55" , "114.8338" , "-3.4845" , "2011" , "3662300" , "385" , "674926" , "0.010512519454987303060918" , "0.010512519454987303060918" ,
 "Kalimantan Tengah" , "62" , "36,84" , "113.2833" , "-1.3833" , "2010" , "2506000" , "225" , "765469" , "0.008978451715881883479648" , "0.008978451715881883479648" ,
 "Kalimantan Tengah" , "62" , "36,84" , "113.2833" , "-1.3833" , "2011" , "2628800" , "238" , "266306" , "0.009053560559951308581862" , "0.009053560559951308581862" ,
 "Kalimantan Tengah" , "62" , "36,84" , "113.2833" , "-1.3833" , "2008" , "2439900" , "225" , "1193419" , "0.009221689413500553301364" , "0.009221689413500553301364" ,
 "Kalimantan Tengah" , "62" , "36,84" , "113.2833" , "-1.3833" , "2009" , "2502300" , "225" , "1223940" , "0.008991727610598249610358" , "0.008991727610598249610358" ,
 "Kalimantan Tengah" , "62" , "36,84" , "113.2833" , "-1.3833" , "2012" , "2692600" , "238" , "433194" , "0.00883904033276387135111" , "0.00883904033276387135111" ,
 "Kalimantan Timur" , "64" , "155,14" , "116.4333" , "0.95" , "2011" , "3427600" , "409" , "674926" , "0.011932547555140623176566" , "0.011932547555140623176566" ,
 "Kalimantan Timur" , "64" , "155,14" , "116.4333" , "0.95" , "2012" , "3506300" , "409" , "1130371" , "0.01166471779368565154151" , "0.01166471779368565154151" ,
 "Kalimantan Timur" , "64" , "155,14" , "116.4333" , "0.95" , "2009" , "3263000" , "409" , "714304" , "0.012534477474716518541219" , "0.012534477474716518541219" ,
 "Kalimantan Timur" , "64" , "155,14" , "116.4333" , "0.95" , "2010" , "3343200" , "409" , "591817" , "0.012233787987556831777937" , "0.012233787987556831777937" ,
